tema;pregunta;opcion_a;opcion_b;opcion_c;opcion_d;correcta;justificacion;
Actualidad;¿Qué tecnología ha tenido un crecimiento acelerado desde 2023?;Fax;Inteligencia Artificial Generativa;Disquetes;Pagers;B;La IA generativa ha experimentado una rápida adopción.;
Actualidad;¿Qué fenómeno está relacionado con el aumento de la temperatura promedio del planeta?;Cambio climático;Lluvia ácida;Erosión;Tornados;A;El cambio climático implica un calentamiento global sostenido.;
Actualidad;¿Cuál de estas fuentes genera electricidad sin emitir CO? durante su operación?;Carbón;Petróleo;Energía solar;Diésel;C;La energía solar no produce emisiones directas durante la generación.;
Actualidad;¿Qué término describe el aumento general de precios?;Deflación;Inflación;Recesión;Devaluación;B;La inflación refleja el incremento sostenido de precios.;
Actualidad;¿Qué organismo internacional coordina acciones de salud pública a nivel mundial?;UNESCO;OMS;FAO;FMI;B;La Organización Mundial de la Salud lidera la cooperación sanitaria.;
Actualidad;¿Qué empresa popularizó ChatGPT?;IBM;OpenAI;Intel;Oracle;B;ChatGPT fue desarrollado por OpenAI.;
Actualidad;¿Cuál es el objetivo principal del programa Artemis?;Viajar a Marte inmediatamente;Regresar astronautas a la Luna;Construir un hotel espacial;Destruir asteroides;B;Artemis busca el regreso de misiones tripuladas a la Luna.;
Actualidad;¿Qué tipo de vehículo utiliza principalmente baterías recargables para impulsarse?;Híbrido enchufable;Eléctrico;Gasolina;Diésel;B;Los vehículos eléctricos funcionan principalmente con baterías.;
Actualidad;¿Qué herramienta se utiliza para editar genes con gran precisión?;Bluetooth;CRISPR;USB;NFC;B;CRISPR revolucionó la edición genética.;
Actualidad;¿Qué método añade una capa extra de seguridad además de la contraseña?;Modo incógnito;Doble autenticación;Cambiar el fondo de pantalla;Borrar cookies;B;La autenticación de dos factores incrementa la seguridad.;
Ciencia y tecnología;¿Cuál es el planeta más cercano al Sol?;Venus;Marte;Mercurio;Tierra;C;Mercurio es el primer planeta del Sistema Solar.;
Ciencia y tecnología;¿Cuál es la unidad de fuerza en el Sistema Internacional?;Julio;Newton;Watt;Pascal;B;La fuerza se mide en newtons (N).;
Ciencia y tecnología;¿Cuál es el elemento químico más abundante del universo?;Oxígeno;Hidrógeno;Helio;Carbono;B;El hidrógeno constituye la mayor parte de la materia visible.;
Ciencia y tecnología;¿Qué orgánulo celular produce la mayor parte de la energía?;Núcleo;Mitocondria;Ribosoma;Lisosoma;B;Las mitocondrias producen ATP mediante la respiración celular.;
Ciencia y tecnología;¿Qué significa la sigla USB?;Universal System Bus;Universal Serial Bus;United Storage Base;Universal Storage Bus;B;USB significa Universal Serial Bus.;
Ciencia y tecnología;¿Cuál es el sistema numérico utilizado por las computadoras?;Decimal;Hexadecimal;Binario;Octal;C;Los computadores procesan información en binario.;
Ciencia y tecnología;¿Qué telescopio espacial fue lanzado en 2021?;Hubble;James Webb;Kepler;Spitzer;B;El James Webb fue lanzado en diciembre de 2021.;
Ciencia y tecnología;¿Cuál es la fórmula química del agua?;CO?;H?O;O?;H?SO?;B;El agua está compuesta por dos átomos de hidrógeno y uno de oxígeno.;
Ciencia y tecnología;¿Qué dispositivo protege un circuito al interrumpir el paso de corriente cuando hay una sobrecarga?;Transformador;Fusible;Resistencia;Condensador;B;El fusible se funde para proteger el circuito.;
Ciencia y tecnología;¿Quién propuso las tres leyes del movimiento?;Galileo;Isaac Newton;Nikola Tesla;Johannes Kepler;B;Newton formuló las leyes del movimiento.;
Cine y series;¿Qué premio es el más prestigioso del cine?;Grammy;Óscar;Emmy;Tony;B;Los Premios Óscar reconocen la excelencia cinematográfica.;
Cine y series;¿Cómo se llama el mago protagonista de una famosa saga creada por J. K. Rowling?;Percy Jackson;Harry Potter;Frodo Baggins;Gandalf;B;Harry Potter es el protagonista de la saga.;
Cine y series;¿Qué estudio creó Toy Story?;DreamWorks;Pixar;Illumination;Ghibli;B;Toy Story fue producida por Pixar.;
Cine y series;¿Cuál es el verdadero nombre de Batman?;Clark Kent;Bruce Wayne;Peter Parker;Tony Stark;B;Bruce Wayne es Batman.;
Cine y series;¿Quién es el padre de Luke Skywalker?;Han Solo;Anakin Skywalker;Obi-Wan Kenobi;Yoda;B;Anakin se convierte en Darth Vader.;
Cine y series;¿En qué serie aparece el personaje Walter White?;Lost;Breaking Bad;Dark;Narcos;B;Walter White es el protagonista.;
Cine y series;¿Cómo se llama el león protagonista de El Rey León?;Mufasa;Simba;Scar;Nala;B;Simba es el protagonista.;
Cine y series;¿Qué premio reconoce la televisión en Estados Unidos?;Grammy;Emmy;Goya;César;B;Los Emmy premian la televisión.;
Cine y series;¿Quién dirigió Titanic?;Steven Spielberg;James Cameron;Christopher Nolan;Ridley Scott;B;James Cameron dirigió Titanic.;
Cine y series;¿Qué pez busca Marlin en Buscando a Nemo?;Dory;Nemo;Burbuja;Gill;B;Nemo es el hijo de Marlin.;
Cine y series;¿Quién dirigió la película Jurassic Park?;George Lucas;James Cameron;Steven Spielberg;Ridley Scott;C;Steven Spielberg dirigió Jurassic Park en 1993.;
Cine y series;¿Cómo se llama la nave espacial de Han Solo?;Enterprise;Serenity;Millennium Falcon;Rocinante;C;El Millennium Falcon es una de las naves más famosas del cine.;
Cine y series;¿Qué estudio creó Shrek?;Pixar;DreamWorks;Disney;Blue Sky;B;Shrek fue producida por DreamWorks Animation.;
Cine y series;¿Qué premio reconoce la industria cinematográfica británica?;Óscar;BAFTA;Goya;César;B;Los BAFTA son otorgados por la Academia Británica.;
Cine y series;¿En qué ciudad ficticia se desarrolla Stranger Things?;Hill Valley;Hawkins;Sunnydale;Stars Hollow;B;Hawkins es la ciudad ficticia de la serie.;
Cine y series;¿Cuál es el alter ego de Superman?;Bruce Wayne;Clark Kent;Peter Parker;Steve Rogers;B;Clark Kent es la identidad civil de Superman.;
Cine y series;¿Quién destruye el Anillo Único en El Señor de los Anillos?;Aragorn;Gandalf;Frodo;Gimli;C;Frodo completa la misión con ayuda de Sam.;
Cine y series;¿Cuál fue el primer largometraje animado de Disney?;Pinocho;Dumbo;Blancanieves;Bambi;C;Blancanieves y los siete enanos se estrenó en 1937.;
Cine y series;¿Quién escribió la novela Drácula?;Edgar Allan Poe;Stephen King;Bram Stoker;Mary Shelley;C;Bram Stoker publicó Drácula en 1897.;
Cine y series;¿Qué película ganó el Óscar a Mejor Película en 1998 por su historia del Titanic?;Avatar;Titanic;Gladiator;Braveheart;B;Titanic ganó 11 premios Óscar.;
Colombia;¿Cuál es la capital del departamento de Antioquia?;Cali;Medellín;Pereira;Manizales;B;Medellín es la capital de Antioquia.;
Colombia;¿En qué fecha se conmemora la independencia de Colombia?;7 de agosto;20 de julio;12 de octubre;11 de noviembre;B;El 20 de julio de 1810 marca el inicio del proceso independentista.;
Colombia;¿Cuál es el río más importante de Colombia?;Cauca;Magdalena;Atrato;Meta;B;El río Magdalena atraviesa gran parte del país.;
Colombia;¿Qué género musical es Patrimonio Cultural Inmaterial de la Humanidad según la UNESCO?;Rock;Cumbia;Vallenato;Salsa;C;El vallenato tradicional recibió este reconocimiento.;
Colombia;¿Cuál es el ave nacional de Colombia?;Cóndor de los Andes;Águila arpía;Guacamaya;Tucán;A;El cóndor representa un símbolo nacional.;
Colombia;¿Qué producto agrícola ha sido históricamente uno de los principales de exportación?;Trigo;Café;Algodón;Maíz;B;El café colombiano es reconocido mundialmente.;
Colombia;¿Cuál deporte ha dado múltiples campeones mundiales a Colombia en ruta?;Béisbol;Ciclismo;Rugby;Hockey;B;Colombia ha destacado internacionalmente en ciclismo.;
Colombia;¿En qué ciudad se encuentra la Ciudad Amurallada?;Santa Marta;Cartagena;Barranquilla;Tunja;B;La Ciudad Amurallada está en Cartagena.;
Colombia;¿Qué océanos rodean el territorio colombiano?;Atlántico y Pacífico;Pacífico e Índico;Atlántico y Ártico;Índico y Antártico;A;Colombia tiene costas en el Caribe (Atlántico) y el Pacífico.;
Colombia;¿Cuál es la flor nacional de Colombia?;Orquídea;Rosa;Girasol;Cattleya trianae;D;La Cattleya trianae fue declarada flor nacional.;
Colombia;¿Cuál es el departamento más extenso de Colombia?;Antioquia;Amazonas;Meta;Vichada;A;Amazonas es el departamento de mayor superficie.;
Colombia;¿Cuál es la bebida tradicional elaborada a partir de maíz fermentado?;Café;Chicha;Aguapanela;Lulada;B;La chicha es una bebida ancestral colombiana.;
